tag_code,mark_file_name,site_name,first_time_value,last_time_value,first_antenna_group_name,last_antenna_group_name,release_date_mmddyyyy,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,release_site_name,mark_date_mmddyyyy,mark_site_name,mark_site_code_value,mark_year_yyyy,site_code_value,srr_code,srr_name,count,mark_month,brood_yr,spawn_yr,TRT
384.3B23A06752,CBB14036.HEV,SC1 - Lower SF Clearwater R at rkm 1,2016-10-28T15:59:00Z,2016-10-28T17:05:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/14/2014,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2014-02-05,DWOR - Dworshak National Fish Hatchery,DWOR,2014,SC1,32H,Hat. Summer Steelhead,1,2,2013,2017,CRSFC-s
384.3B23A07C50,CBB14036.HEV,SC1 - Lower SF Clearwater R at rkm 1,2016-10-28T22:08:00Z,2016-10-28T22:40:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/14/2014,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2014-02-05,DWOR - Dworshak National Fish Hatchery,DWOR,2014,SC1,32H,Hat. Summer Steelhead,1,2,2013,2017,CRSFC-s
384.3B23A0A67F,CBB14036.HEV,SC1 - Lower SF Clearwater R at rkm 1,2016-10-16T16:10:00Z,2016-10-16T17:17:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/14/2014,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2014-02-05,DWOR - Dworshak National Fish Hatchery,DWOR,2014,SC1,32H,Hat. Summer Steelhead,1,2,2013,2017,CRSFC-s
384.3B23A0A929,CBB14036.HEV,SC1 - Lower SF Clearwater R at rkm 1,2017-02-17T11:30:00Z,2017-02-17T12:31:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/14/2014,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2014-02-05,DWOR - Dworshak National Fish Hatchery,DWOR,2014,SC1,32H,Hat. Summer Steelhead,1,2,2013,2017,CRSFC-s
384.3B23A0B86E,CBB14036.HEV,SC1 - Lower SF Clearwater R at rkm 1,2016-10-28T20:48:00Z,2016-10-28T21:59:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/14/2014,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2014-02-05,DWOR - Dworshak National Fish Hatchery,DWOR,2014,SC1,32H,Hat. Summer Steelhead,1,2,2013,2017,CRSFC-s
384.3B23A1345A,CBB14036.HEV,SC1 - Lower SF Clearwater R at rkm 1,2016-10-20T19:31:00Z,2016-10-24T02:17:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/14/2014,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2014-02-05,DWOR - Dworshak National Fish Hatchery,DWOR,2014,SC1,32H,Hat. Summer Steelhead,1,2,2013,2017,CRSFC-s
384.3B23A15B8E,CBB14036.HEV,SC1 - Lower SF Clearwater R at rkm 1,2016-10-19T19:49:00Z,2016-10-20T20:58:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/14/2014,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2014-02-05,DWOR - Dworshak National Fish Hatchery,DWOR,2014,SC1,32H,Hat. Summer Steelhead,1,2,2013,2017,CRSFC-s
384.3B23A16A18,CBB14037.HEV,LC1 - Lower Lolo Creek at rkm 21,2016-11-24T09:24:00Z,2016-11-24T09:24:00Z,SINGLE ARRAY,SINGLE ARRAY,4/15/2014,3,Steelhead,2,Summer,H,Hatchery Reared,CLEARC - Clear Creek,2014-02-06,DWOR - Dworshak National Fish Hatchery,DWOR,2014,LC1,32H,Hat. Summer Steelhead,1,2,2013,2017,CRLOL-s
384.3B23A48C87,CBB14028.HEV,LC1 - Lower Lolo Creek at rkm 21,2017-03-21T02:13:00Z,2017-03-21T02:13:00Z,SINGLE ARRAY,SINGLE ARRAY,4/18/2014,3,Steelhead,2,Summer,H,Hatchery Reared,LOLOC - Lolo Creek,2014-01-28,DWOR - Dworshak National Fish Hatchery,DWOR,2014,LC1,32H,Hat. Summer Steelhead,1,1,2013,2017,CRLOL-s
384.3B23AA5961,CBB14028.HEV,LC2 - Upper Lolo Creek at rkm 25,2017-03-15T12:49:00Z,2017-03-15T13:48:00Z,SINGLE ARRAY,SINGLE ARRAY,4/18/2014,3,Steelhead,2,Summer,H,Hatchery Reared,LOLOC - Lolo Creek,2014-01-28,DWOR - Dworshak National Fish Hatchery,DWOR,2014,LC2,32H,Hat. Summer Steelhead,1,1,2013,2017,CRLOL-s
384.3B23AA74E0,CBB14028.HEV,LC1 - Lower Lolo Creek at rkm 21,2017-04-12T18:25:00Z,2017-04-12T18:25:00Z,SINGLE ARRAY,SINGLE ARRAY,4/18/2014,3,Steelhead,2,Summer,H,Hatchery Reared,LOLOC - Lolo Creek,2014-01-28,DWOR - Dworshak National Fish Hatchery,DWOR,2014,LC1,32H,Hat. Summer Steelhead,1,1,2013,2017,CRLOL-s
384.3B23AA74E0,CBB14028.HEV,LC2 - Upper Lolo Creek at rkm 25,2017-04-13T15:43:00Z,2017-04-13T15:43:00Z,SINGLE ARRAY,SINGLE ARRAY,4/18/2014,3,Steelhead,2,Summer,H,Hatchery Reared,LOLOC - Lolo Creek,2014-01-28,DWOR - Dworshak National Fish Hatchery,DWOR,2014,LC2,32H,Hat. Summer Steelhead,1,1,2013,2017,CRLOL-s
384.3B23AC07DF,CBB14027.HEV,LC1 - Lower Lolo Creek at rkm 21,2017-04-04T18:48:00Z,2017-04-04T18:49:00Z,SINGLE ARRAY,SINGLE ARRAY,4/21/2014,3,Steelhead,2,Summer,H,Hatchery Reared,LOLOC - Lolo Creek,2014-01-27,DWOR - Dworshak National Fish Hatchery,DWOR,2014,LC1,32H,Hat. Summer Steelhead,1,1,2013,2017,CRLOL-s
