tag_code,mark_file_name,site_name,first_time_value,last_time_value,first_antenna_group_name,last_antenna_group_name,release_date_mmddyyyy,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,release_site_name,mark_date_mmddyyyy,mark_site_name,mark_site_code_value,mark_year_yyyy,site_code_value,srr_code,srr_name,count,mark_month,brood_yr,spawn_yr,TRT
3DA.1A19AF0913,BDL15307.H21,TAY - Big Creek at Taylor Ranch,2018-03-27T22:46:00Z,2018-03-27T22:47:00Z,Downstream Array,Upstream Array,4/5/2016,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,2015-11-03,HAGE - Hagerman NFH,HAGE,2015,TAY,32H,Hat. Summer Steelhead,1,11,2015,2018,MFBIG-s
3DA.1A19AF0FE9,BDL14309.H12,STL - Sawtooth Hatchery Adult Trap,2017-04-13T01:25:00Z,2017-04-25T17:23:00Z,KEYWAY 1 - ORIFICE,KEYWAY 3 - OVERFLOW,4/28/2015,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,2014-11-05,HAGE - Hagerman NFH,HAGE,2014,STL,32H,Hat. Summer Steelhead,1,11,2014,2017,SRUMA-s
3DA.1A19AF64E0,BDL14308.H23,LLR - Lower Lemhi River,2017-06-04T19:00:00Z,2017-06-04T19:22:00Z,UPSTREAM ARRAY,DOWNSTREAM ARRAY,4/6/2015,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,2014-11-04,HAGE - Hagerman NFH,HAGE,2014,LLR,32H,Hat. Summer Steelhead,1,11,2014,2017,SRLEM-s
3DD.003BD0944D,CBB15021.RH,SC1 - Lower SF Clearwater R at rkm 1,2018-02-03T00:41:00Z,2018-04-04T20:20:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/17/2015,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2015-01-21,DWOR - Dworshak National Fish Hatchery,DWOR,2015,SC1,32H,Hat. Summer Steelhead,1,1,2014,2018,CRSFC-s
3DD.003BD0944D,CBB15021.RH,SC2 - Lower SF Clearwater R at rkm 2,2018-02-03T09:45:00Z,2018-04-04T20:03:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/17/2015,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2015-01-21,DWOR - Dworshak National Fish Hatchery,DWOR,2015,SC2,32H,Hat. Summer Steelhead,1,1,2014,2018,CRSFC-s
3DD.003BD09710,CBB15021.RH,SC1 - Lower SF Clearwater R at rkm 1,2018-02-02T10:54:00Z,2018-02-02T10:54:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/17/2015,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2015-01-21,DWOR - Dworshak National Fish Hatchery,DWOR,2015,SC1,32H,Hat. Summer Steelhead,1,1,2014,2018,CRSFC-s
3DD.003BD0986C,CBB15021.RH,SC1 - Lower SF Clearwater R at rkm 1,2017-11-28T01:30:00Z,2017-11-28T01:32:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/17/2015,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2015-01-21,DWOR - Dworshak National Fish Hatchery,DWOR,2015,SC1,32H,Hat. Summer Steelhead,1,1,2014,2018,CRSFC-s
3DD.003BD0A157,CBB15021.RH,SC1 - Lower SF Clearwater R at rkm 1,2018-01-13T17:14:00Z,2018-01-29T01:58:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/17/2015,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2015-01-21,DWOR - Dworshak National Fish Hatchery,DWOR,2015,SC1,32H,Hat. Summer Steelhead,1,1,2014,2018,CRSFC-s
3DD.003BD0A157,CBB15021.RH,SC2 - Lower SF Clearwater R at rkm 2,2018-01-13T21:00:00Z,2018-01-29T00:02:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/17/2015,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2015-01-21,DWOR - Dworshak National Fish Hatchery,DWOR,2015,SC2,32H,Hat. Summer Steelhead,1,1,2014,2018,CRSFC-s
3DD.003BDE4C87,CBB16011.DW1,SC1 - Lower SF Clearwater R at rkm 1,2019-03-31T19:22:00Z,2019-03-31T19:22:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/13/2016,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2016-01-11,DWOR - Dworshak National Fish Hatchery,DWOR,2016,SC1,32H,Hat. Summer Steelhead,1,1,2015,2019,CRSFC-s
3DD.003BDE4C87,CBB16011.DW1,SC2 - Lower SF Clearwater R at rkm 2,2019-03-19T00:22:00Z,2019-03-19T00:31:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/13/2016,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2016-01-11,DWOR - Dworshak National Fish Hatchery,DWOR,2016,SC2,32H,Hat. Summer Steelhead,1,1,2015,2019,CRSFC-s
3DD.003BDE4CED,CBB16011.DW1,SC1 - Lower SF Clearwater R at rkm 1,2019-02-16T01:31:00Z,2019-02-16T01:31:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/13/2016,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2016-01-11,DWOR - Dworshak National Fish Hatchery,DWOR,2016,SC1,32H,Hat. Summer Steelhead,1,1,2015,2019,CRSFC-s
3DD.003BDE4CED,CBB16011.DW1,SC2 - Lower SF Clearwater R at rkm 2,2019-02-16T19:17:00Z,2019-02-16T19:17:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/13/2016,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2016-01-11,DWOR - Dworshak National Fish Hatchery,DWOR,2016,SC2,32H,Hat. Summer Steelhead,1,1,2015,2019,CRSFC-s
3DD.003BDE4D12,CBB16011.DW1,SC1 - Lower SF Clearwater R at rkm 1,2019-04-14T20:30:00Z,2019-04-14T20:32:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/13/2016,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2016-01-11,DWOR - Dworshak National Fish Hatchery,DWOR,2016,SC1,32H,Hat. Summer Steelhead,1,1,2015,2019,CRSFC-s
3DD.003BDE4E8B,CBB16011.DW1,SC1 - Lower SF Clearwater R at rkm 1,2019-03-20T20:41:00Z,2019-03-20T20:41:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/13/2016,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2016-01-11,DWOR - Dworshak National Fish Hatchery,DWOR,2016,SC1,32H,Hat. Summer Steelhead,1,1,2015,2019,CRSFC-s
3DD.003BDE5134,CBB16011.DW1,SC1 - Lower SF Clearwater R at rkm 1,2018-11-03T13:18:00Z,2018-11-09T05:26:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/13/2016,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2016-01-11,DWOR - Dworshak National Fish Hatchery,DWOR,2016,SC1,32H,Hat. Summer Steelhead,1,1,2015,2019,CRSFC-s
3DD.003BDE5134,CBB16011.DW1,SC2 - Lower SF Clearwater R at rkm 2,2018-11-03T15:22:00Z,2018-11-09T04:52:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/13/2016,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2016-01-11,DWOR - Dworshak National Fish Hatchery,DWOR,2016,SC2,32H,Hat. Summer Steelhead,1,1,2015,2019,CRSFC-s
3DD.003BDE51C9,CBB16011.DW1,SC1 - Lower SF Clearwater R at rkm 1,2018-03-15T17:30:00Z,2018-03-15T17:30:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/13/2016,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2016-01-11,DWOR - Dworshak National Fish Hatchery,DWOR,2016,SC1,32H,Hat. Summer Steelhead,1,1,2015,2018,CRSFC-s
3DD.003BDE51C9,CBB16011.DW1,SC2 - Lower SF Clearwater R at rkm 2,2018-03-16T19:07:00Z,2018-03-16T19:07:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/13/2016,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2016-01-11,DWOR - Dworshak National Fish Hatchery,DWOR,2016,SC2,32H,Hat. Summer Steelhead,1,1,2015,2018,CRSFC-s
3DD.003BDE52CF,CBB16011.DW2,SC1 - Lower SF Clearwater R at rkm 1,2018-03-26T13:55:00Z,2018-03-26T13:55:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/13/2016,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2016-01-11,DWOR - Dworshak National Fish Hatchery,DWOR,2016,SC1,32H,Hat. Summer Steelhead,1,1,2015,2018,CRSFC-s
3DD.003BDE52CF,CBB16011.DW2,SC2 - Lower SF Clearwater R at rkm 2,2018-03-26T14:59:00Z,2018-03-26T14:59:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/13/2016,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2016-01-11,DWOR - Dworshak National Fish Hatchery,DWOR,2016,SC2,32H,Hat. Summer Steelhead,1,1,2015,2018,CRSFC-s
3DD.003BDE54D5,CBB16011.DW2,SC1 - Lower SF Clearwater R at rkm 1,2019-04-07T08:03:00Z,2019-04-07T08:03:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/13/2016,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2016-01-11,DWOR - Dworshak National Fish Hatchery,DWOR,2016,SC1,32H,Hat. Summer Steelhead,1,1,2015,2019,CRSFC-s
3DD.003BDE54D5,CBB16011.DW2,SC2 - Lower SF Clearwater R at rkm 2,2019-04-07T09:43:00Z,2019-04-07T09:43:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/13/2016,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2016-01-11,DWOR - Dworshak National Fish Hatchery,DWOR,2016,SC2,32H,Hat. Summer Steelhead,1,1,2015,2019,CRSFC-s
3DD.003BDE553A,CBB16011.DW2,SC1 - Lower SF Clearwater R at rkm 1,2019-03-19T20:56:00Z,2019-03-19T20:56:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/13/2016,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2016-01-11,DWOR - Dworshak National Fish Hatchery,DWOR,2016,SC1,32H,Hat. Summer Steelhead,1,1,2015,2019,CRSFC-s
3DD.003BDE553A,CBB16011.DW2,SC2 - Lower SF Clearwater R at rkm 2,2019-03-20T01:04:00Z,2019-03-20T01:04:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/13/2016,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2016-01-11,DWOR - Dworshak National Fish Hatchery,DWOR,2016,SC2,32H,Hat. Summer Steelhead,1,1,2015,2019,CRSFC-s
3DD.003BDE5CCA,CBB16011.DW2,SC1 - Lower SF Clearwater R at rkm 1,2019-03-22T16:45:00Z,2019-03-22T16:45:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/13/2016,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2016-01-11,DWOR - Dworshak National Fish Hatchery,DWOR,2016,SC1,32H,Hat. Summer Steelhead,1,1,2015,2019,CRSFC-s
3DD.003BDE5CCA,CBB16011.DW2,SC2 - Lower SF Clearwater R at rkm 2,2019-03-23T11:25:00Z,2019-03-23T11:25:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/13/2016,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2016-01-11,DWOR - Dworshak National Fish Hatchery,DWOR,2016,SC2,32H,Hat. Summer Steelhead,1,1,2015,2019,CRSFC-s
3DD.003BDE5D75,CBB16011.DW2,SC2 - Lower SF Clearwater R at rkm 2,2018-03-20T18:06:00Z,2018-03-20T18:06:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/13/2016,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2016-01-11,DWOR - Dworshak National Fish Hatchery,DWOR,2016,SC2,32H,Hat. Summer Steelhead,1,1,2015,2018,CRSFC-s
3DD.003BDE600C,CBB16014.DW3,SC1 - Lower SF Clearwater R at rkm 1,2018-10-28T04:45:00Z,2018-10-28T06:01:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/11/2016,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2016-01-14,DWOR - Dworshak National Fish Hatchery,DWOR,2016,SC1,32H,Hat. Summer Steelhead,1,1,2015,2019,CRSFC-s
3DD.003BDE600C,CBB16014.DW3,SC2 - Lower SF Clearwater R at rkm 2,2018-10-28T08:59:00Z,2018-10-28T08:59:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/11/2016,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2016-01-14,DWOR - Dworshak National Fish Hatchery,DWOR,2016,SC2,32H,Hat. Summer Steelhead,1,1,2015,2019,CRSFC-s
3DD.003BDE726D,CBB16005.DW2,LC1 - Lower Lolo Creek at rkm 21,2018-05-25T09:23:00Z,2018-05-25T09:23:00Z,SINGLE ARRAY,SINGLE ARRAY,4/19/2016,3,Steelhead,2,Summer,H,Hatchery Reared,LOLOC - Lolo Creek,2016-01-05,DWOR - Dworshak National Fish Hatchery,DWOR,2016,LC1,32H,Hat. Summer Steelhead,1,1,2015,2018,CRLOL-s
3DD.003BDE726D,CBB16005.DW2,LC2 - Upper Lolo Creek at rkm 25,2018-04-05T11:47:00Z,2018-05-25T07:38:00Z,SINGLE ARRAY,SINGLE ARRAY,4/19/2016,3,Steelhead,2,Summer,H,Hatchery Reared,LOLOC - Lolo Creek,2016-01-05,DWOR - Dworshak National Fish Hatchery,DWOR,2016,LC2,32H,Hat. Summer Steelhead,1,1,2015,2018,CRLOL-s
3DD.003BDE83D8,CBB16005.DW2,LC1 - Lower Lolo Creek at rkm 21,2019-04-16T15:29:00Z,2019-04-16T15:30:00Z,SINGLE ARRAY,SINGLE ARRAY,4/19/2016,3,Steelhead,2,Summer,H,Hatchery Reared,LOLOC - Lolo Creek,2016-01-05,DWOR - Dworshak National Fish Hatchery,DWOR,2016,LC1,32H,Hat. Summer Steelhead,1,1,2015,2019,CRLOL-s
3DD.003BDE85F5,CBB16005.DW2,LC1 - Lower Lolo Creek at rkm 21,2019-04-21T16:39:00Z,2019-04-21T16:41:00Z,SINGLE ARRAY,SINGLE ARRAY,4/19/2016,3,Steelhead,2,Summer,H,Hatchery Reared,LOLOC - Lolo Creek,2016-01-05,DWOR - Dworshak National Fish Hatchery,DWOR,2016,LC1,32H,Hat. Summer Steelhead,1,1,2015,2019,CRLOL-s
3DD.003BDE8692,CBB16005.DW2,LC2 - Upper Lolo Creek at rkm 25,2018-03-29T15:16:00Z,2018-03-29T15:16:00Z,SINGLE ARRAY,SINGLE ARRAY,4/19/2016,3,Steelhead,2,Summer,H,Hatchery Reared,LOLOC - Lolo Creek,2016-01-05,DWOR - Dworshak National Fish Hatchery,DWOR,2016,LC2,32H,Hat. Summer Steelhead,1,1,2015,2018,CRLOL-s
3DD.003BDE86C3,CBB16005.DW2,LC1 - Lower Lolo Creek at rkm 21,2018-02-05T07:53:00Z,2018-02-05T08:00:00Z,SINGLE ARRAY,SINGLE ARRAY,4/19/2016,3,Steelhead,2,Summer,H,Hatchery Reared,LOLOC - Lolo Creek,2016-01-05,DWOR - Dworshak National Fish Hatchery,DWOR,2016,LC1,32H,Hat. Summer Steelhead,1,1,2015,2018,CRLOL-s
3DD.003BDE89BE,CBB16005.DW1,LC1 - Lower Lolo Creek at rkm 21,2019-04-30T18:56:00Z,2019-04-30T18:56:00Z,SINGLE ARRAY,SINGLE ARRAY,4/20/2016,3,Steelhead,2,Summer,H,Hatchery Reared,LOLOC - Lolo Creek,2016-01-05,DWOR - Dworshak National Fish Hatchery,DWOR,2016,LC1,32H,Hat. Summer Steelhead,1,1,2015,2019,CRLOL-s
3DD.003BDE8E51,CBB16005.DW1,LC1 - Lower Lolo Creek at rkm 21,2018-04-20T13:05:00Z,2018-04-24T06:55:00Z,SINGLE ARRAY,SINGLE ARRAY,4/20/2016,3,Steelhead,2,Summer,H,Hatchery Reared,LOLOC - Lolo Creek,2016-01-05,DWOR - Dworshak National Fish Hatchery,DWOR,2016,LC1,32H,Hat. Summer Steelhead,1,1,2015,2018,CRLOL-s
3DD.003BDE8E51,CBB16005.DW1,LC2 - Upper Lolo Creek at rkm 25,2018-04-24T17:49:00Z,2018-05-08T11:09:00Z,SINGLE ARRAY,SINGLE ARRAY,4/20/2016,3,Steelhead,2,Summer,H,Hatchery Reared,LOLOC - Lolo Creek,2016-01-05,DWOR - Dworshak National Fish Hatchery,DWOR,2016,LC2,32H,Hat. Summer Steelhead,1,1,2015,2018,CRLOL-s
3DD.003BDE8E98,CBB16005.DW1,LC2 - Upper Lolo Creek at rkm 25,2018-03-17T12:34:00Z,2018-04-25T14:16:00Z,SINGLE ARRAY,SINGLE ARRAY,4/20/2016,3,Steelhead,2,Summer,H,Hatchery Reared,LOLOC - Lolo Creek,2016-01-05,DWOR - Dworshak National Fish Hatchery,DWOR,2016,LC2,32H,Hat. Summer Steelhead,1,1,2015,2018,CRLOL-s
3DD.003BDE8ED0,CBB16005.DW1,LC1 - Lower Lolo Creek at rkm 21,2018-03-29T16:02:00Z,2018-04-26T09:05:00Z,SINGLE ARRAY,SINGLE ARRAY,4/20/2016,3,Steelhead,2,Summer,H,Hatchery Reared,LOLOC - Lolo Creek,2016-01-05,DWOR - Dworshak National Fish Hatchery,DWOR,2016,LC1,32H,Hat. Summer Steelhead,1,1,2015,2018,CRLOL-s
3DD.003BDE8ED0,CBB16005.DW1,LC2 - Upper Lolo Creek at rkm 25,2018-03-30T13:45:00Z,2018-04-25T08:15:00Z,SINGLE ARRAY,SINGLE ARRAY,4/20/2016,3,Steelhead,2,Summer,H,Hatchery Reared,LOLOC - Lolo Creek,2016-01-05,DWOR - Dworshak National Fish Hatchery,DWOR,2016,LC2,32H,Hat. Summer Steelhead,1,1,2015,2018,CRLOL-s
3DD.003BE06FCF,BDL15307.H31,STL - Sawtooth Hatchery Adult Trap,2018-04-05T23:42:00Z,2018-04-24T14:50:00Z,KEYWAY 1 - OVERFLOW,KEYWAY 1 - OVERFLOW,4/5/2016,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,2015-11-03,HAGE - Hagerman NFH,HAGE,2015,STL,32H,Hat. Summer Steelhead,1,11,2015,2018,SRUMA-s
3DD.003BE0712A,BDL15307.H11,STL - Sawtooth Hatchery Adult Trap,2018-04-24T16:08:00Z,2018-04-24T18:47:00Z,KEYWAY 1 - ORIFICE,KEYWAY 1 - OVERFLOW,4/5/2016,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,2015-11-03,HAGE - Hagerman NFH,HAGE,2015,STL,32H,Hat. Summer Steelhead,1,11,2015,2018,SRUMA-s
3DD.003BE2166D,BDL15308.H36,STL - Sawtooth Hatchery Adult Trap,2018-04-07T23:09:00Z,2018-04-08T00:32:00Z,KEYWAY 1 - OVERFLOW,KEYWAY 3 - OVERFLOW,4/4/2016,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,2015-11-04,HAGE - Hagerman NFH,HAGE,2015,STL,32H,Hat. Summer Steelhead,1,11,2015,2018,SRUMA-s
3DD.003BE21A11,BDL15308.H16,STL - Sawtooth Hatchery Adult Trap,2018-04-07T14:51:00Z,2018-04-07T18:10:00Z,KEYWAY 3 - OVERFLOW,KEYWAY 3 - OVERFLOW,4/4/2016,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,2015-11-04,HAGE - Hagerman NFH,HAGE,2015,STL,32H,Hat. Summer Steelhead,1,11,2015,2018,SRUMA-s
3DD.003BE21D12,BDL15308.H27,STL - Sawtooth Hatchery Adult Trap,2018-04-24T15:22:00Z,2018-04-25T11:59:00Z,KEYWAY 3 - OVERFLOW,KEYWAY 3 - OVERFLOW,4/5/2016,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,2015-11-04,HAGE - Hagerman NFH,HAGE,2015,STL,32H,Hat. Summer Steelhead,1,11,2015,2018,SRUMA-s
3DD.003BE21D8A,BDL15308.H27,YFK - Yankee Fork Salmon River,2018-05-01T17:31:00Z,2018-05-02T13:44:00Z,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/5/2016,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,2015-11-04,HAGE - Hagerman NFH,HAGE,2015,YFK,32H,Hat. Summer Steelhead,1,11,2015,2018,SRUMA-s
3DD.003BE225FD,BDL15308.H18,STL - Sawtooth Hatchery Adult Trap,2018-04-24T12:52:00Z,2018-04-24T19:18:00Z,KEYWAY 1 - ORIFICE,KEYWAY 3 - OVERFLOW,4/5/2016,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,2015-11-04,HAGE - Hagerman NFH,HAGE,2015,STL,32H,Hat. Summer Steelhead,1,11,2015,2018,SRUMA-s
3DD.003BE22919,BDL15308.H38,STL - Sawtooth Hatchery Adult Trap,2018-04-16T11:50:00Z,2018-04-17T18:02:00Z,KEYWAY 1 - OVERFLOW,KEYWAY 1 - OVERFLOW,4/5/2016,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,2015-11-04,HAGE - Hagerman NFH,HAGE,2015,STL,32H,Hat. Summer Steelhead,1,11,2015,2018,SRUMA-s
3DD.00773BABDD,BDL14308.H16,STL - Sawtooth Hatchery Adult Trap,2017-04-05T15:44:00Z,2017-04-16T16:50:00Z,KEYWAY 3 - OVERFLOW,KEYWAY 1 - OVERFLOW,4/24/2015,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,2014-11-04,HAGE - Hagerman NFH,HAGE,2014,STL,32H,Hat. Summer Steelhead,1,11,2014,2017,SRUMA-s
3DD.00773C0690,BDL14028.V49,LLR - Lower Lemhi River,2017-04-04T17:58:00Z,2017-04-04T18:00:00Z,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/22/2014,3,Steelhead,2,Summer,H,Hatchery Reared,PAHTRP - Pahsimeroi River Trap,2014-01-28,MAVA - Magic Valley Hatchery,MAVA,2014,LLR,32H,Hat. Summer Steelhead,1,1,2013,2017,SRLEM-s
3DD.00773D7237,BDL14028.V17,YFK - Yankee Fork Salmon River,2017-03-31T16:01:00Z,2017-03-31T16:02:00Z,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/24/2014,3,Steelhead,2,Summer,H,Hatchery Reared,YANKFK - Yankee Fork Salmon River,2014-01-28,MAVA - Magic Valley Hatchery,MAVA,2014,YFK,32H,Hat. Summer Steelhead,1,1,2013,2017,SRUMA-s
3DD.00773F3517,BDL14028.V37,YFK - Yankee Fork Salmon River,2017-04-19T14:15:00Z,2017-04-19T14:15:00Z,UPSTREAM ARRAY,UPSTREAM ARRAY,4/24/2014,3,Steelhead,2,Summer,H,Hatchery Reared,YANKFK - Yankee Fork Salmon River,2014-01-28,MAVA - Magic Valley Hatchery,MAVA,2014,YFK,32H,Hat. Summer Steelhead,1,1,2013,2017,SRUMA-s
3DD.0077405E3D,BDL14028.V37,YFK - Yankee Fork Salmon River,2017-04-09T10:03:00Z,2017-04-09T13:47:00Z,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/24/2014,3,Steelhead,2,Summer,H,Hatchery Reared,YANKFK - Yankee Fork Salmon River,2014-01-28,MAVA - Magic Valley Hatchery,MAVA,2014,YFK,32H,Hat. Summer Steelhead,1,1,2013,2017,SRUMA-s
3DD.007740AE60,BDL14028.V47,YFK - Yankee Fork Salmon River,2017-04-12T16:39:00Z,2017-04-12T16:39:00Z,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/24/2014,3,Steelhead,2,Summer,H,Hatchery Reared,YANKFK - Yankee Fork Salmon River,2014-01-28,MAVA - Magic Valley Hatchery,MAVA,2014,YFK,32H,Hat. Summer Steelhead,1,1,2013,2017,SRUMA-s
3DD.007740C5F1,BDL14028.V22,YFK - Yankee Fork Salmon River,2017-03-28T13:20:00Z,2017-04-02T16:03:00Z,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/30/2014,3,Steelhead,2,Summer,H,Hatchery Reared,YANKFK - Yankee Fork Salmon River,2014-01-28,MAVA - Magic Valley Hatchery,MAVA,2014,YFK,32H,Hat. Summer Steelhead,1,1,2013,2017,SRUMA-s
3DD.007742BC5F,BDL14309.H63,STL - Sawtooth Hatchery Adult Trap,2017-04-17T16:49:00Z,2017-05-02T17:39:00Z,KEYWAY 1 - OVERFLOW,KEYWAY 1 - OVERFLOW,4/21/2015,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,2014-11-05,HAGE - Hagerman NFH,HAGE,2014,STL,32H,Hat. Summer Steelhead,1,11,2014,2017,SRUMA-s
3DD.007742E49C,BDL14309.H17,STL - Sawtooth Hatchery Adult Trap,2018-04-18T10:26:00Z,2018-04-18T15:36:00Z,KEYWAY 3 - OVERFLOW,KEYWAY 1 - OVERFLOW,4/8/2015,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,2014-11-05,HAGE - Hagerman NFH,HAGE,2014,STL,32H,Hat. Summer Steelhead,1,11,2014,2018,SRUMA-s
3DD.007742F330,BDL14309.H52,STL - Sawtooth Hatchery Adult Trap,2018-04-17T16:27:00Z,2018-04-18T17:27:00Z,KEYWAY 3 - ORIFICE,KEYWAY 3 - OVERFLOW,4/16/2015,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,2014-11-05,HAGE - Hagerman NFH,HAGE,2014,STL,32H,Hat. Summer Steelhead,1,11,2014,2018,SRUMA-s
3DD.007743D6FA,BDL14309.H29,STL - Sawtooth Hatchery Adult Trap,2018-04-16T21:03:00Z,2018-04-17T17:51:00Z,KEYWAY 1 - ORIFICE,KEYWAY 3 - OVERFLOW,4/9/2015,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,2014-11-05,HAGE - Hagerman NFH,HAGE,2014,STL,32H,Hat. Summer Steelhead,1,11,2014,2018,SRUMA-s
3DD.0077441A7A,BDL14028.V42,YFK - Yankee Fork Salmon River,2017-04-10T13:18:00Z,2017-05-02T13:29:00Z,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/30/2014,3,Steelhead,2,Summer,H,Hatchery Reared,YANKFK - Yankee Fork Salmon River,2014-01-28,MAVA - Magic Valley Hatchery,MAVA,2014,YFK,32H,Hat. Summer Steelhead,1,1,2013,2017,SRUMA-s
3DD.0077441A91,BDL14028.V31,YFK - Yankee Fork Salmon River,2017-03-26T17:44:00Z,2017-03-26T17:47:00Z,DOWNSTREAM ARRAY,UPSTREAM ARRAY,5/1/2014,3,Steelhead,2,Summer,H,Hatchery Reared,YANKFK - Yankee Fork Salmon River,2014-01-28,MAVA - Magic Valley Hatchery,MAVA,2014,YFK,32H,Hat. Summer Steelhead,1,1,2013,2017,SRUMA-s
