Tag Code,Mark File Name,Site Name,First Time Value,Last Time Value,First Antenna Group Name,Last Antenna Group Name,Release Date MMDDYYYY,Species Code,Species Name,Run Code,Run Name,Rear Type Code,Rear Type Name,Release Site Name,Mark Date MMDDYYYY,Mark Site Name,Mark Site Code Value,Mark Year YYYY,Site Code Value,SRR Code,SRR Name,Count
3DD.0077B4E02E,BDL-2018-318-H44.XML,LLR - Lower Lemhi River,4/26/2019 13:31,4/26/2019 13:31,UPSTREAM ARRAY,UPSTREAM ARRAY,4/15/2019,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,11/14/2018,HAGE - Hagerman NFH,HAGE,2018,LLR,32H,Hat. Summer Steelhead,1
3DD.0077B8DE71,JSW-2017-259-001.XML,LLR - Lower Lemhi River,4/10/2018 0:54,4/10/2018 0:55,DOWNSTREAM ARRAY,UPSTREAM ARRAY,9/16/2017,3,Steelhead,2,Summer,H,Hatchery Reared,LGRLDR - LGR - Release into the Adult Fish Ladder,9/16/2017,LGRLDR - LGR - Release into the Adult Fish Ladder,LGRLDR,2017,LLR,32H,Hat. Summer Steelhead,1
3DD.0077B8E73E,JSW-2017-289-001.XML,LLR - Lower Lemhi River,4/7/2018 14:20,4/8/2018 4:40,DOWNSTREAM ARRAY,DOWNSTREAM ARRAY,10/16/2017,3,Steelhead,2,Summer,H,Hatchery Reared,LGRLDR - LGR - Release into the Adult Fish Ladder,10/16/2017,LGRLDR - LGR - Release into the Adult Fish Ladder,LGRLDR,2017,LLR,32H,Hat. Summer Steelhead,1
3DD.0077BC5FFF,BDL-2017-304-V45.XML,LLR - Lower Lemhi River,4/20/2018 0:27,4/20/2018 0:27,UPSTREAM ARRAY,UPSTREAM ARRAY,4/4/2018,3,Steelhead,2,Summer,H,Hatchery Reared,PAHSIW - Pahsimeroi Weir,10/31/2017,MAVA - Magic Valley Hatchery,MAVA,2017,LLR,32H,Hat. Summer Steelhead,1
3DD.0077CCA149,BDL-2018-316-H22.XML,LLR - Lower Lemhi River,4/30/2019 13:29,6/7/2019 10:03,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/1/2019,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,11/12/2018,HAGE - Hagerman NFH,HAGE,2018,LLR,32H,Hat. Summer Steelhead,1
3DD.0077D3F26A,BDL-2018-313-V45.XML,LLR - Lower Lemhi River,5/4/2019 23:57,5/5/2019 0:00,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/9/2019,3,Steelhead,2,Summer,H,Hatchery Reared,YANKFK - Yankee Fork Salmon River,11/9/2018,MAVA - Magic Valley Hatchery,MAVA,2018,LLR,32H,Hat. Summer Steelhead,1
3DD.0077D437DE,BDL-2018-313-V37.XML,LLR - Lower Lemhi River,5/7/2019 10:24,5/7/2019 10:27,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/5/2019,3,Steelhead,2,Summer,H,Hatchery Reared,YANKFK - Yankee Fork Salmon River,11/9/2018,MAVA - Magic Valley Hatchery,MAVA,2018,LLR,32H,Hat. Summer Steelhead,1
3DD.0077D986E4,IPC-2018-314-N11.XML,LLR - Lower Lemhi River,4/15/2019 17:00,5/27/2019 0:45,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/2/2019,3,Steelhead,2,Summer,H,Hatchery Reared,PAHSIW - Pahsimeroi Weir,11/10/2018,NISP - Niagara Springs Hatchery,NISP,2018,LLR,32H,Hat. Summer Steelhead,1
3DD.0077DA493B,IPC-2018-314-N41.XML,LLR - Lower Lemhi River,5/5/2019 2:38,5/5/2019 2:38,DOWNSTREAM ARRAY,DOWNSTREAM ARRAY,4/2/2019,3,Steelhead,2,Summer,H,Hatchery Reared,PAHSIW - Pahsimeroi Weir,11/10/2018,NISP - Niagara Springs Hatchery,NISP,2018,LLR,32H,Hat. Summer Steelhead,1
3DD.0077E3B637,BDL-2017-311-H34.XML,LLR - Lower Lemhi River,4/27/2018 19:24,5/11/2018 16:53,UPSTREAM ARRAY,UPSTREAM ARRAY,4/11/2018,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,11/7/2017,HAGE - Hagerman NFH,HAGE,2017,LLR,32H,Hat. Summer Steelhead,1
3DD.0077E40781,BDL-2017-311-H24.XML,LLR - Lower Lemhi River,5/2/2018 13:09,5/2/2018 13:11,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/11/2018,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,11/7/2017,HAGE - Hagerman NFH,HAGE,2017,LLR,32H,Hat. Summer Steelhead,1
